Time,current_position_1,current_position_2,current_position_3,controller_1,controller_2,controller_3,error_position_1,error_position_2,error_position_3
2.4,0.0882771861755353,-0.134364512966456,0.66792987473309,-0.0374685704709802,-0.0742503467784068,-0.429116288776696,-0.0882771861755353,0.134364512966456,0.13207012526691
2.44,0.0877682283317356,-0.136201510693914,0.681459115818143,-0.0368761275811053,-0.0725737608352033,-0.42399565147683,-0.0877682283317356,0.136201510693914,0.118540884181857
2.48,0.0871485193003484,-0.138248017851468,0.697193013504148,-0.0359731465183078,-0.0752360874453325,-0.45367208456099,-0.0871485193003484,0.138248017851468,0.102806986495853
2.52,0.0862814048333682,-0.139925266090875,0.709365831688046,-0.033945057003169,-0.0734140408906968,-0.423942084658891,-0.0862814048333682,0.139925266090875,0.0906341683119536
2.56,0.0859557595902993,-0.141151467022163,0.719961987808347,-0.0380483808949428,-0.0708015169845027,-0.413292273746431,-0.0859557595902993,0.141151467022163,0.0800380121916533
2.6,0.0854064819191032,-0.142736642739277,0.732763277366757,-0.0363233381346911,-0.0744102010990846,-0.441584176882356,-0.0854064819191032,0.142736642739277,0.0672367226332427
2.64,0.0851373527157076,-0.143845637365268,0.742232428863645,-0.0384876129256744,-0.071567914051535,-0.412862898570299,-0.0851373527157076,0.143845637365268,0.0577675711363554
2.68,0.0846522077785073,-0.144803184617539,0.751246498897672,-0.0368437116526908,-0.0711027689242788,-0.412703583816439,-0.0846522077785073,0.144803184617539,0.0487535011023283
2.72,0.0842352888997203,-0.146021488054977,0.761944638565183,-0.0373579439548327,-0.0738353680572389,-0.434795842982829,-0.0842352888997203,0.146021488054977,0.0380553614348174
2.76,0.0835490743670724,-0.146553570863964,0.769295798614621,-0.0352322113156162,-0.0691935894435569,-0.404925516103953,-0.0835490743670724,0.146553570863964,0.0307042013853789
2.8,0.0834028401579238,-0.147509846887489,0.776927458122373,-0.0393906682069355,-0.0730506561037375,-0.411484932038188,-0.0834028401579238,0.147509846887489,0.0230725418776274
2.84,0.0830930504737838,-0.148316926902331,0.785854743793607,-0.03820689195116,-0.0725495377383261,-0.428858691424876,-0.0830930504737838,0.148316926902331,0.0141452562063933
2.88,0.0828355841281982,-0.148748322196981,0.793242381885648,-0.0386625165530309,-0.0702010943085469,-0.417127744166553,-0.0828355841281982,0.148748322196981,0.00675761811435227
2.92,0.0828877099783268,-0.149452545964936,0.800027357414365,-0.0411709795291958,-0.0728264940099128,-0.414480091061443,-0.0828877099783268,0.149452545964936,-2.73574143647703e-05
2.96,0.0823397231254727,-0.150001195693916,0.808345781639218,-0.0366167149356405,-0.0721780537011188,-0.433973844850063,-0.0823397231254727,0.150001195693916,-0.00834578163921829
3,0.0821425511347046,-0.150382522536194,0.815037475898862,-0.0393336370512294,-0.0713756651791576,-0.421069083891064,-0.0821425511347046,0.150382522536194,-0.0150374758988618
3.04,0.0817446092032371,-0.150894309819373,0.821194158867002,-0.0378329708256658,-0.0728595984442539,-0.418827387411892,-0.0817446092032371,0.150894309819373,-0.0211941588670015
3.08,0.0815810559225335,-0.15109585481438,0.82834761030972,-0.0396889536125201,-0.0709151879006081,-0.432414186196774,-0.0815810559225335,0.15109585481438,-0.02834761030972
3.12,0.0814108777051677,-0.15162501621277,0.834132658317685,-0.0397343574124524,-0.073886167194963,-0.421679371073842,-0.0814108777051677,0.15162501621277,-0.0341326583176851
3.16,0.0813929090492995,-0.15169586434288,0.839038955047727,-0.041031563416748,-0.0707804069673368,-0.415413271976262,-0.0813929090492995,0.15169586434288,-0.0390389550477266
3.2,0.0811468703623408,-0.15212967770172,0.844953762367368,-0.0393854085268841,-0.07397956325503,-0.428533859442174,-0.0811468703623408,0.15212967770172,-0.0449537623673677
3.24,0.0811969193062883,-0.152292838974293,0.849848018959165,-0.0417883790769835,-0.0723191964724688,-0.420865387984365,-0.0811969193062883,0.152292838974293,-0.0498480189591646
3.28,0.080945807096001,-0.152489204973361,0.85377817042172,-0.0395916193747211,-0.0729513639987484,-0.413289108461142,-0.080945807096001,0.152489204973361,-0.0537781704217195
3.32,0.0806952516740775,-0.152699865247319,0.857743071392179,-0.0396574647328718,-0.0734478135799499,-0.415726610366255,-0.0806952516740775,0.152699865247319,-0.0577430713921785
3.36,0.0802144639403286,-0.152595475535781,0.86225782521069,-0.0378997978040304,-0.0713485825346186,-0.423598001898825,-0.0802144639403286,0.152595475535781,-0.0622578252106905
3.4,0.0800078379368154,-0.152967626654073,0.864550994709134,-0.0400337893072725,-0.0753766901567235,-0.402653259097785,-0.0800078379368154,0.152967626654073,-0.0645509947091341
3.44,0.0795068110315448,-0.152797694667838,0.868814097717404,-0.0377853874578582,-0.0715490293315936,-0.424613247689605,-0.0795068110315448,0.152797694667838,-0.0688140977174043
3.48,0.0792844687491601,-0.153035887913635,0.871069418266416,-0.0399455988386116,-0.0750108412594816,-0.405800711566955,-0.0792844687491601,0.153035887913635,-0.0710694182664156
3.52,0.0793041004319013,-0.153512321984158,0.873884962871671,-0.0419268251876507,-0.0772942928489666,-0.412952863268554,-0.0793041004319013,0.153512321984158,-0.0738849628716707
3.56,0.0790392045022022,-0.152693268722845,0.877139018848538,-0.0398455179233321,-0.0675575411996416,-0.419112774898857,-0.0790392045022022,0.152693268722845,-0.0771390188485384
3.6,0.0792588812882816,-0.152962441585737,0.880697356536984,-0.0437257624151075,-0.0761322928137745,-0.424089038896561,-0.0792588812882816,0.152962441585737,-0.0806973565369844
3.64,0.0788325217224975,-0.152804394330536,0.883997546508908,-0.0388684637123944,-0.0731708479091745,-0.423319051430374,-0.0788325217224975,0.152804394330536,-0.0839975465089082
3.68,0.07879194071111,-0.152692878929455,0.887666391208768,-0.0419032355092579,-0.0737808394432977,-0.42900801615268,-0.07879194071111,0.152692878929455,-0.0876663912087678
3.72,0.0786869728666203,-0.152746119092903,0.89042447693646,-0.0415359310046187,-0.0753431880005115,-0.421454802077263,-0.0786869728666203,0.152746119092903,-0.0904244769364595
3.76,0.078819513881597,-0.152751454748718,0.892067419365048,-0.04352763780234,-0.0752915306937712,-0.411305689254403,-0.078819513881597,0.152751454748718,-0.0920674193650484
3.8,0.078365480923336,-0.152498568472267,0.893622504547238,-0.0391043588475161,-0.0735592146006915,-0.411388794220239,-0.078365480923336,0.152498568472267,-0.0936225045472383
3.84,0.0785364553496242,-0.152613117188343,0.894893335178494,-0.0440170349639978,-0.0766657936680167,-0.409368909035623,-0.0785364553496242,0.152613117188343,-0.0948933351784944
3.88,0.0785506532827439,-0.152406414288018,0.896345542743802,-0.0430039633491805,-0.0744789516192648,-0.412098568829149,-0.0785506532827439,0.152406414288018,-0.096345542743802
3.92,0.0787675041138052,-0.152209474037802,0.898766921833158,-0.044767701722733,-0.0747782082235632,-0.423193664699793,-0.0787675041138052,0.152209474037802,-0.0987669218331575
3.96,0.0787741082138121,-0.152171518093829,0.901140915229917,-0.0433510278880547,-0.0762598270908777,-0.424104338315874,-0.0787741082138121,0.152171518093829,-0.101140915229917
4,0.0786845874491625,-0.152234654937772,0.902441011741757,-0.0427518313136995,-0.0773476207740126,-0.414217699553072,-0.0786845874491625,0.152234654937772,-0.102441011741757
4.04,0.078649833311538,-0.151943485835167,0.903850363567472,-0.0433060485362355,-0.0748783278437274,-0.416219810628146,-0.078649833311538,0.151943485835167,-0.103850363567471
4.08,0.0786072427164216,-0.151961846774005,0.904712485149503,-0.0433875385336231,-0.0775110345017624,-0.411386269709468,-0.0786072427164216,0.151961846774005,-0.104712485149503
4.12,0.078658711638952,-0.151974635126154,0.905521677806973,-0.044270786970419,-0.0777782791360026,-0.411471001762897,-0.078658711638952,0.151974635126154,-0.105521677806973
4.16,0.0783849877474338,-0.151746697796058,0.906388090923429,-0.0418796687317252,-0.0761856108573775,-0.412687456266582,-0.0783849877474338,0.151746697796058,-0.106388090923428
4.2,0.0779476969923304,-0.15147263983321,0.907422231510282,-0.04063477092829,-0.0760335763221957,-0.415094577445835,-0.0779476969923304,0.15147263983321,-0.107422231510282
4.24,0.0778728238094892,-0.151302333131581,0.908516811206937,-0.0434788488411046,-0.0770465333803467,-0.416461102855206,-0.0778728238094892,0.151302333131581,-0.108516811206937
4.28,0.0771608725777995,-0.150955463917601,0.909414457157254,-0.0385717286296834,-0.0758861715183882,-0.415157621989399,-0.0771608725777995,0.150955463917601,-0.109414457157254
4.32,0.0764732015350773,-0.150519844373511,0.910943733528256,-0.0386330833750065,-0.0753482071527592,-0.422457393296063,-0.0764732015350773,0.150519844373511,-0.110943733528256
4.36,0.0759880412412407,-0.150369813900218,0.912225650623441,-0.0401107962771848,-0.0777311526831693,-0.420846646552533,-0.0759880412412407,0.150369813900218,-0.112225650623441
