Time,current_position_1,current_position_2,current_position_3,error_position_1,error_position_2,error_position_3,controller_1,controller_2,controller_3
10.96,0.00932121338768405,-0.0489862085721142,0.849262980744243,-0.00932121338768405,0.0489862085721142,-0.0492629807442426,-0.0142588496521489,-0.0594538219278517,-0.396912894178182
11,0.00920429702383791,-0.0486102218124664,0.849033800885081,-0.00920429702383791,0.0486102218124664,-0.0490338008850812,-0.0129346793684884,-0.0592355386047539,-0.395741096147895
11.04,0.00910073977469093,-0.048223645821377,0.848668841645122,-0.00910073977469093,0.048223645821377,-0.0486688416451215,-0.013011858423121,-0.0590987094161302,-0.394298890321702
11.08,0.00901683313349009,-0.0478038011758037,0.848389415070415,-0.00901683313349009,0.0478038011758037,-0.0483894150704145,-0.0131438768057862,-0.0587777039409153,-0.395111841370165
11.12,0.00893688140719264,-0.047388872143332,0.848121313378215,-0.00893688140719264,0.047388872143332,-0.0481213133782148,-0.0131595916433095,-0.0587442070285398,-0.39518781817928
11.16,0.00886694400800177,-0.0468350438787667,0.847772864624858,-0.00886694400800177,0.0468350438787667,-0.0477728646248579,-0.013224597899747,-0.0575757092262983,-0.394306365817785
11.2,0.00857953909719129,-0.046645354726631,0.847544817253947,-0.00857953909719129,0.046645354726631,-0.0475448172539472,-0.0114963634862916,-0.0603245469964233,-0.395491901686042
11.24,0.00866937628915696,-0.0460404701755108,0.846970466896892,-0.00866937628915696,0.0460404701755108,-0.0469704668968915,-0.0143787732120934,-0.0570619183930452,-0.391836786280572
11.28,0.00869613931638083,-0.0454230032612231,0.846411792561412,-0.00869613931638083,0.0454230032612231,-0.0464117925614118,-0.0139337609399978,-0.0568126448439241,-0.391808150262386
11.32,0.00854543505451078,-0.0447699386832511,0.845967439934611,-0.00854543505451078,0.0447699386832511,-0.0459674399346113,-0.0125598668456782,-0.0563752825416261,-0.3928220146209
11.36,0.0084888581951247,-0.0441548298985687,0.845481185242534,-0.0084888581951247,0.0441548298985687,-0.0454811852425336,-0.0132602824906625,-0.0565034473547916,-0.392251801501959
11.4,0.00847836911064036,-0.043431155809551,0.845051674172282,-0.00847836911064036,0.043431155809551,-0.0450516741722822,-0.0136187228850221,-0.0554880475964672,-0.392695444555581
11.44,0.0083927759163304,-0.0427727239681603,0.844539849087596,-0.0083927759163304,0.0427727239681603,-0.0445398490875959,-0.0130381615218272,-0.055800854028732,-0.391706495217234
11.48,0.00783940318154388,-0.0415172885489548,0.844005016610026,-0.00783940318154388,0.0415172885489548,-0.0440050166100263,-0.00932525142617105,-0.0509066984753752,-0.391298084747791
11.52,0.00808056981426751,-0.0411858967537943,0.843487588688731,-0.00808056981426751,0.0411858967537943,-0.0434875886887311,-0.0153964421419498,-0.0577875035147471,-0.391301426383108
11.56,0.00782119333499949,-0.0406399878473846,0.843177465721965,-0.00782119333499949,0.0406399878473846,-0.0431774657219648,-0.0115547793499337,-0.0560426334113209,-0.39330638962239
